stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
9005_10,,通町二丁目,,38.279171,140.865278,9005_10,,0,,,,
9005_50,,通町二丁目,,38.278991,140.865227,9005_50,,0,,,,
9006_10,,宮城県仙台合同庁舎前,,38.278508,140.867416,9006_10,,0,,,,
9006_50,,宮城県仙台合同庁舎前,,38.277932,140.867388,9006_50,,0,,,,
9009_10,,北山一丁目,,38.279920,140.859757,9009_10,,0,,,,
9009_50,,北山一丁目,,38.279664,140.859565,9009_50,,0,,,,
9011_10,,輪王寺前,,38.281146,140.858216,9011_10,,0,,,,
9011_50,,輪王寺前,,38.281061,140.857981,9011_50,,0,,,,
9013_10,,羽黒神社前,,38.282205,140.855223,9013_10,,0,,,,
9013_50,,羽黒神社前,,38.282656,140.854588,9013_50,,0,,,,
9015_10,,北山三丁目,,38.281243,140.852552,9015_10,,0,,,,
9015_50,,北山三丁目,,38.282183,140.852930,9015_50,,0,,,,
9017_10,,三条町,,38.280235,140.851085,9017_10,,0,,,,
9017_50,,三条町,,38.280648,140.851949,9017_50,,0,,,,
9019_10,,東北福祉大前,,38.279509,140.849156,9019_10,,0,,,,
9019_50,,東北福祉大前,,38.279524,140.849200,9019_50,,0,,,,
9021_10,,国見一丁目,,38.278449,140.848411,9021_10,,0,,,,
9021_50,,国見一丁目,,38.278159,140.847954,9021_50,,0,,,,
9023_0,,子平町・壽徳寺前,,38.275664,140.846324,9023_0,,0,,,,
9023_10,,子平町・壽徳寺前,,38.275832,140.847362,9023_10,,0,,,,
9023_11,,子平町・壽徳寺前,,38.275661,140.846334,9023_11,,0,,,,
9023_50,,子平町・壽徳寺前,,38.276628,140.847072,9023_50,,0,,,,
9025_10,,子平町龍雲院前,,38.274488,140.851066,9025_10,,0,,,,
9027_10,,柏木二丁目,,38.273644,140.852843,9027_10,,0,,,,
9027_50,,柏木二丁目,,38.273723,140.852914,9027_50,,0,,,,
9029_10,,教会前,,38.274186,140.856066,9029_10,,0,,,,
9031_10,,星陵町,,38.274631,140.858848,9031_10,,0,,,,
9031_50,,星陵町,,38.274599,140.858984,9031_50,,0,,,,
9033_10,,歯学部・東北会病院前,,38.274679,140.861731,9033_10,,0,,,,
9033_50,,歯学部・東北会病院前,,38.274675,140.861540,9033_50,,0,,,,
9035_10,,加齢医学研究所入口,,38.273431,140.862173,9035_10,,0,,,,
9041_10,,木町,,38.277522,140.860915,9041_10,,0,,,,
9041_50,,木町,,38.277307,140.860675,9041_50,,0,,,,
9050_10,,木町東,,38.278592,140.861291,9050_10,,0,,,,
9050_50,,木町東,,38.278454,140.861446,9050_50,,0,,,,
91_10,,二日町北四番丁,,38.271557,140.869329,91_10,,0,,,,4
91_50,,二日町北四番丁,,38.271459,140.869032,91_50,,0,,,,3
91_51,,二日町北四番丁,,38.271555,140.869014,91_51,,0,,,,2
91_52,,二日町北四番丁,,38.271894,140.867849,91_52,,0,,,,1
9101_10,,北山霊園前,,38.283932,140.857064,9101_10,,0,,,,
9101_50,,北山霊園前,,38.284148,140.856905,9101_50,,0,,,,
9103_10,,山手町,,38.286578,140.856000,9103_10,,0,,,,
9103_50,,山手町,,38.286649,140.855858,9103_50,,0,,,,
9105_10,,本沢二丁目,,38.289207,140.855145,9105_10,,0,,,,
9105_50,,本沢二丁目,,38.289177,140.854830,9105_50,,0,,,,
9111_10,,中山入口,,38.288355,140.849444,9111_10,,0,,,,
9111_50,,中山入口,,38.288276,140.849406,9111_50,,0,,,,
9115_10,,中山二丁目,,38.289823,140.845652,9115_10,,0,,,,
9115_50,,中山二丁目,,38.289839,140.845486,9115_50,,0,,,,
9117_10,,中山四丁目,,38.290793,140.844292,9117_10,,0,,,,
9117_50,,中山四丁目,,38.291009,140.843856,9117_50,,0,,,,
9119_10,,中山不動尊前,,38.292671,140.841719,9119_10,,0,,,,
9119_50,,中山不動尊前,,38.292846,140.841207,9119_50,,0,,,,
9121_10,,中山六丁目,,38.294672,140.836961,9121_10,,0,,,,
9121_50,,中山六丁目,,38.294154,140.838051,9121_50,,0,,,,
9131_10,,中山市民センター前,,38.291953,140.837486,9131_10,,0,,,,
9131_50,,中山市民センター前,,38.291719,140.837654,9131_50,,0,,,,
9133_10,,電力研究所前,,38.293877,140.835641,9133_10,,0,,,,
9133_50,,電力研究所前,,38.293815,140.835669,9133_50,,0,,,,
9151_10,,中山七丁目,,38.297826,140.836936,9151_10,,0,,,,
9151_50,,中山七丁目,,38.297747,140.836977,9151_50,,0,,,,
9152_10,,西勝山公園前,,38.297726,140.837911,9152_10,,0,,,,
